stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
01180,1180,"Pennock Av at 145 St NW corner",,  44.739274, -93.222872,,,0,
01181,1181,"Pennock Av at 146 St NW corner",,  44.736828, -93.222880,,,0,
01183,1183,"Pennock Ln at Whitney Dr NW corner",,  44.726662, -93.222750,,,0,
01184,1184,"Garden View Dr at Elm Dr E corner",,  44.733757, -93.238108,,,0,
01185,1185,"Garden View Dr at Strese Ln SE corner",,  44.735020, -93.238772,,,0,
01186,1186,"Garden View Dr at Westview Elem School E corner",,  44.738213, -93.238772,,,0,
01187,1187,"Garden View Dr at 143 St SE corner",,  44.741700, -93.238063,,,0,
01188,1188,"Garden View Dr at 141 Ct SE corner",,  44.744473, -93.238070,,,0,
01204,1204,"157 St at Gateway Pth NE corner",,  44.723103, -93.211016,,,0,
01205,1205,"157 St at Garrett Dr NE corner",,  44.722397, -93.213320,,,0,
01237,1237,"Pennock Ln at Whitney Dr NE corner",,  44.726670, -93.222605,,,0,
01242,1242,"Nicols Rd at Cliff Dr NE corner",,  44.791699, -93.217844,,,0,
01243,1243,"Nicols Rd at Cliffhill Ln SE corner",,  44.793641, -93.217898,,,0,
01244,1244,"Nicols Rd at Shale Ln SE corner",,  44.797776, -93.217875,,,0,
01245,1245,"Nicols Rd at Marble Ln SE corner",,  44.801709, -93.217860,,,0,
01249,1249,"Nicols Rd at Glory Dr NW corner",,  44.801308, -93.218012,,,0,
01250,1250,"Nicols Rd at Cedar Ridge Cir NW corner",,  44.798588, -93.218020,,,0,
01251,1251,"Nicols Rd at Erin Dr (N) NW corner",,  44.794804, -93.218035,,,0,
01253,1253,"McAndrews Rd at Galaxie Av NW corner",,  44.759915, -93.207331,,,0,
01256,1256,"Nicols Rd at Diffley Rd SW corner",,  44.804554, -93.218012,,,0,
01257,1257,"Nicols Rd at Cliff Dr W corner (NS Holiday)",,  44.791546, -93.218058,,,0,
